name,description,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Mint,Nutty,Orange,Pepper,Pine,Pineapple,Plum,Pungent,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Woody,Aroused,Creative,Energetic,Euphoric,Focused,Giggly,Happy,Hungry,Relaxed,Sleepy,Talkative,Tingly,Uplifted,Hybrid,Indica,Sativa
24K Gold,"24K Gold, also known as 24K or Kosher Tangie, is a cross of Tangie and Kosher Kush, bred by DNA Genetics in Amsterdam. The seed bank has identified three 24K Gold phenotypes; one of which has a prominent kush flavor with citrus undertones, and another with a Tangie-leaning flavor. 

According to DNA Genetics, the strain has an Indica-leaning lineage, but grows tall and produces above-average yields (450 to 550 grams per square meter, or 0.99 to 1.12 pounds per square foot) of resinous buds in a 63-70 day flowering period. The breeder also claims that 24K Gold produces a strong tangerine scent and kush-flavored buds. 24K Gold won third Place at the Milano Secret Cup in 2018. ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
303 OG Kush,"303 OG Kush is a strain with various sources of origin. Below are several anecdotes about the strain's inception. 

Origin #1
303 OG, also called 303 Kush or 303 OG Kush, is reported to have first been cultivated in Colorado by the breeder known as Zombo and is an Indica-dominant cross between a Pre-'98 Bubba Kush and Reservoir ChemDawg IC3.

Reported by online sources to have been selected for its phenotypes by Colorado’s Hill Billy, the strain was named after Denver’s area code. Clones are the best option for cultivators looking to grow 303 OG, as seeds are not easily obtained.

Origin #2
The 303 OG grown by The Clinic in Colorado is an Indica-dominant cross between Kosher Kush and Ghost OG. Available throughout Colorado, flowers from The Clinic’s 303 OG strain provides a sweet and spicy flavor profile that’s popular for its OG characteristics, powerful body high, and cerebral effects.

The Clinic’s 303 OG Nug Run Sugar Budder won first place in 2014 for Best U.S. Concentrates at the Denver High Times Cannabis Cup. The Clinic’s 303 OG THC content has been tested as high as 20%, and the strain reportedly helps mitigate physical discomfort, apprehension, insomnia, and loss of appetite.
",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
3 Kings (Three Kings),"While the original breeder of 3 Kings is unknown, the lineage of this sativa-leaning hybrid is made up of Headband, Sour Diesel, and OG Kush, three strains often crowned as royalty by the cannabis community. Available from several online seed banks, 3 Kings reportedly carries a tangy and sour aroma and moderate THC levels of about 16%.

Three Kings grows to a medium height, yielding moderate amounts of pale green colas glistening with frosty trichomes in an eight-to-nine-week flowering period. This strain is suitable for indoor or outdoor growing conditions, but is said to require some experience to properly manage.

Growers should expect 3 Kings seeds to harvest up to 600 grams per square meter indoors and up to 650 grams per plant outside. Some sources also suggest that certain samples of 3 Kings have tested for high levels of cannabichromene (CBC), a cannabinoid that has purported anti-inflammatory properties.",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
3X Crazy,"3X Crazy, also known as Insane OG or Optimus Prime, is a three-way cross of OG Kush, Bubba Kush, and Granddaddy Purple. This strain is said to carry an aroma of grapes and pepper with earthy undertones.

Insane OG is the name Dr. Greenthumb, a Caifornia dispensary launched by Cypress Hill rapper B-Real, gave its version of 3X Crazy. Pacific Seed Bank said the strain has 21% THC, low CBD, and an herbal, sweet, peppery flavor profile.

3X Crazy is an indica-leaning hybrid that does best with an experienced grower. It has an average yield and flowers in seven to nine weeks indoors or outdoors. ",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
501st OG,"With its Kush lineage, 501st OG is a stout and hearty cultivar that offers Indica-heavy effects, according to Rare Dankness Genetics.
 
A cross between Skywalker OG — itself a descendant of OG Kush — and Rare Dankness No. 1, the namesake plant of Colorado’s Rare Dankness Genetics, 501st OG has a flowering time between 50 and 65 days that results in sweet, purple flowers.",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9lb Hammer,"9lb Hammer (also 9 Pound Hammer) was created when breeder Jinxproof crossed his favorite strain Gooberry with the TGA Genetics Jesus OG Kush member of the OG family. These strains combined to form 9lb Hammer’s intoxicatingly fruity blend of grape flavors and autumn-colored foliage. 9lb Hammer was so named because it allegedly felt like a heavy hammer knocking users out cold. 

According to Jinxproof, 9lb Hammer packs a heavy sedative punch, due to large myrcene content and higher tested percentages of THC. ",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Abracadabra,"Little information exists online regarding the magical-sounding Abracadabra — it seems to have materialized from thin air. While the strain's breeder and genetics are unknown, online sources confirm Abracadabra's earthy, citrus flavors and balanced mental and physical effects.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Abusive OG,"Abusive OG, or simply Abusive, was created or discovered by the breeders at Devil’s Harvest Krew sometime in the early 2000s. The cultivar is said to be bred from a rare cut of OG Kush, also called LA Kush for the city where it was created. Its genetic origins, however, are mostly unknown. Contrary to its name, consumers report that Abusive OG produces tranquil euphoria delivered with a fragrant, pine-smelling aroma.

New and experienced growers alike will have an easy time cultivating Abusive OG, which has a reputation for low yields. Abusive OG flourishes with Screen of Green (SCROG) methods and grows into a short, squat plant when it reaches full maturity in 60-70 days. Once bloomed, the cultivar showcases tight, compact nugs covered in trichomes and orange pistils.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Acapulco Gold,"While its exact genetics remain a mystery, Acapulco Gold is a popular and historically significant sativa-leaning hybrid that thrives in outdoor grow environments and is indigenous to Acapulco, Mexico. As indoor cultivation becomes the go-to method for many growers, the original Acapulco Gold cultivar is considered to be a bit of a rarity within modern-day cannabis cultivation circles. 

Known to produce an energetic and cerebral high, a true Acapulco Gold plant is distinguishable by its sativa growth traits, yielding chunky colas that range from dark green to golden brown in color. Carrying an aroma that has been described as burnt toffee, Acapulco Gold is reported to produce an earthy, pungent taste upon consumption. 

Although the strain is best suited for outdoor growing conditions, cultivators should have less difficulty with the newer generation of Acapulco Gold seeds. Following a 60-to-70-day flowering period, one Acapulco Gold strain is reported to yield up to 500 grams per square meter indoors and, if properly harvested outdoors in the Northern Hemisphere by mid-October, up to 1 1/2 kilograms per plant.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
AC/DC,"ACDC is a phenotype of the high-CBD strain Cannatonic (also known as the CBD Queen) that was selected by Dr. William Courtney after receiving a packet of seeds from its original breeder, Spain-based Resin Seeds. 

The resulting ACDC, which is only available on the market as a clone, is exceptionally high in CBD, with a 20:1 CBD-to-THC ratio, according to testing from SC Labs. Resin Seeds describes the plant’s aroma as a mix of cherry, diesel, gas, and Mandarin peel. Myrcene is a dominant terpene in ACDC.

ACDC is a parent to several CBD-rich hybrids. Sin City Seeds offers four ACDC hybrids with varying CBD-to-THC ratios — Thunderstruck (an S1 hybrid of ACDC and ACDC), Treasure Island (Swiss Gold and ACDC), HarleSin (ACDC and Harlequin), and Incredible Power (OmRita, BluePower, and ACDC). 

Other notable hybrids include TOCI (ACDC and Xena), EMT (ACDC and Canna-Tsu) from Med Tree Seeds, Valhalla (ACDC and Sky Dragon) from Love Genetics, and CBD Rich Blessing from Bodhi Seeds. A hybrid of ACDC and a CBD-rich Good Medicine male, CBD Rich Blessing has, in turn, been used by its breeder to cultivate several other CBD-rich hybrids.

The strain reportedly grows to average height, producing thin leaves and medium yields of big, dewy buds. The strain grows best indoors and in warm environments. It’s reported to flower in 63-70 days, possibly longer in colder areas. ACDC can be finicky, so novice and intermediate growers with limited grow space may want to look elsewhere for a high-CBD plant. 

The ACDC clone typically produces short, bushy plants with thin leaves that tend to grow about four feet tall. An ACDC clone Harborside submitted for genetic testing by Phylos Bioscience showed moderate levels of genetic variation.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
