name,slug,species,description,genetic_cultivation_description,references,hero_image_attribution,lab_data_attribution,thc_min,thc_max,cbd_min,cbd_max,featured_position,featured,avatar_image_url,hero_image_url,aliases,effects,flavors
24K Gold,24k-gold,hybrid,"24K Gold, also known as 24K or Kosher Tangie, is a cross of Tangie and Kosher Kush, bred by DNA Genetics in Amsterdam. The seed bank has identified three 24K Gold phenotypes; one of which has a prominent kush flavor with citrus undertones, and another with a Tangie-leaning flavor. 

According to DNA Genetics, the strain has an Indica-leaning lineage, but grows tall and produces above-average yields (450 to 550 grams per square meter, or 0.99 to 1.12 pounds per square foot) of resinous buds in a 63-70 day flowering period. The breeder also claims that 24K Gold produces a strong tangerine scent and kush-flavored buds. 24K Gold won third Place at the Milano Secret Cup in 2018. ",,DNA Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/273/avatar/original/1560881637-171130_45584_24K_1.jpg,https://images.weedmaps.com/strains/000/000/273/hero/original/1581445832-24K_DL.jpg,"['24K', 'Kosher Tangie']","[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}]","[{'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': '12fa7d6c-9b64-4e6d-858b-1ccdd7a1444a', 'type': 'tag', 'name': 'Mango'}, {'id': 'b9e78796-d17d-4c13-b834-7159b081244c', 'type': 'tag', 'name': 'Spicy/Herbal'}]"
303 OG Kush,303-og-kush,hybrid,"303 OG Kush is a strain with various sources of origin. Below are several anecdotes about the strain's inception. 

Origin #1
303 OG, also called 303 Kush or 303 OG Kush, is reported to have first been cultivated in Colorado by the breeder known as Zombo and is an Indica-dominant cross between a Pre-'98 Bubba Kush and Reservoir ChemDawg IC3.

Reported by online sources to have been selected for its phenotypes by Colorado’s Hill Billy, the strain was named after Denver’s area code. Clones are the best option for cultivators looking to grow 303 OG, as seeds are not easily obtained.

Origin #2
The 303 OG grown by The Clinic in Colorado is an Indica-dominant cross between Kosher Kush and Ghost OG. Available throughout Colorado, flowers from The Clinic’s 303 OG strain provides a sweet and spicy flavor profile that’s popular for its OG characteristics, powerful body high, and cerebral effects.

The Clinic’s 303 OG Nug Run Sugar Budder won first place in 2014 for Best U.S. Concentrates at the Denver High Times Cannabis Cup. The Clinic’s 303 OG THC content has been tested as high as 20%, and the strain reportedly helps mitigate physical discomfort, apprehension, insomnia, and loss of appetite.
",,The Clinic,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/003/avatar/original/1562616792-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/003/hero/original/1583291418-303-OG-Kush.jpg,"['303 OG', '303 Kush']","[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': 'df7855ae-6a11-4352-87c4-c6953d89acf1', 'type': 'tag', 'name': 'Pineapple'}, {'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}]"
3 Kings (Three Kings),3-kings-three-kings,hybrid,"While the original breeder of 3 Kings is unknown, the lineage of this sativa-leaning hybrid is made up of Headband, Sour Diesel, and OG Kush, three strains often crowned as royalty by the cannabis community. Available from several online seed banks, 3 Kings reportedly carries a tangy and sour aroma and moderate THC levels of about 16%.

Three Kings grows to a medium height, yielding moderate amounts of pale green colas glistening with frosty trichomes in an eight-to-nine-week flowering period. This strain is suitable for indoor or outdoor growing conditions, but is said to require some experience to properly manage.

Growers should expect 3 Kings seeds to harvest up to 600 grams per square meter indoors and up to 650 grams per plant outside. Some sources also suggest that certain samples of 3 Kings have tested for high levels of cannabichromene (CBC), a cannabinoid that has purported anti-inflammatory properties.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/911/avatar/original/1569451331-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/911/hero/original/1585955733-ThreeKings_Strain_BR.png,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '532eb8d6-ccfa-4ca8-95f4-4b9386ee9575', 'type': 'tag', 'name': 'Hungry'}]","[{'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': '3a810517-86b4-4534-9e24-0f6d8d0ba6c0', 'type': 'tag', 'name': 'Blue Cheese'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}]"
3X Crazy,3x-crazy,hybrid,"3X Crazy, also known as Insane OG or Optimus Prime, is a three-way cross of OG Kush, Bubba Kush, and Granddaddy Purple. This strain is said to carry an aroma of grapes and pepper with earthy undertones.

Insane OG is the name Dr. Greenthumb, a Caifornia dispensary launched by Cypress Hill rapper B-Real, gave its version of 3X Crazy. Pacific Seed Bank said the strain has 21% THC, low CBD, and an herbal, sweet, peppery flavor profile.

3X Crazy is an indica-leaning hybrid that does best with an experienced grower. It has an average yield and flowers in seven to nine weeks indoors or outdoors. ",,Pacific Seed Bank,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/832/avatar/original/1567635205-171215_51778_InsaneOG_1.jpg,https://images.weedmaps.com/strains/000/000/832/hero/original/1583345851-3xCrazyInsaneOptimusPrime.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': 'a289881c-cf93-4f0e-b62b-25b58ed73a93', 'type': 'tag', 'name': 'Lemon'}]"
501st OG,501st-og,hybrid,"With its Kush lineage, 501st OG is a stout and hearty cultivar that offers Indica-heavy effects, according to Rare Dankness Genetics.
 
A cross between Skywalker OG — itself a descendant of OG Kush — and Rare Dankness No. 1, the namesake plant of Colorado’s Rare Dankness Genetics, 501st OG has a flowering time between 50 and 65 days that results in sweet, purple flowers.",,Rare Dankness Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/402/avatar/original/1559931577-171030F_48405_501OGKush_1.jpg,https://images.weedmaps.com/strains/000/000/402/hero/original/1585181398-501St-OG_DL.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}]","[{'id': 'd243ee93-f3c7-4a3f-8e97-e1118bc88192', 'type': 'tag', 'name': 'Skunk'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
707 Headband,707-headband,hybrid,"A cross between a Mendocino elite clone and True OG, 707 Headband is a sativa-leaning hybrid bred by the Humboldt Seed Organization. Said to produce cerebral effects that are described by the breeder as euphoric and invigorating, 707 Headband gives off an aroma of wood and fresh-squeezed lemon. The flavor profile of this strain consists of citrus and fresh pine tree. 

The Humboldt Seed Organization claims that its 707 Headband plant has an open structure that yields dense, resin-coated buds. It can be grown either indoors or outdoors, but tends to thrive in a dry, warm environment such as a Mediterranean climate or greenhouse setting. Because the strain is notably resistant to moisture, staking may be required towards the end of the 63 to 68-day flowering period. Equipped with neon green colas and dark purple fan leaves, this plant produces towering buds with sugary trichomes and orange stigmas. 

Indoor yields are reported to reach 500 to 600 grams per square meter, while outdoor-grown 707 Headband can yield between 900 grams to 4 kilograms per plant, or 2 to 10 pounds. THC levels for this strain can range from 19% to 23%. Feminized 707 Headband seeds are available from the Humboldt Seed Organization, ensuring that growers can still get their hands on genetics from the original breeder.",,Humboldt Seed Organization,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/659/avatar/original/1565291236-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/659/hero/original/1585956672-707Headband_Strain_BR.jpg,[],"[{'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]","[{'id': 'b9e78796-d17d-4c13-b834-7159b081244c', 'type': 'tag', 'name': 'Spicy/Herbal'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
818 Headband,818-headband,hybrid,"818 Headband — also Sour OG — was developed by The Cali Connection from Los Angeles, CA. The name ""818"" refers to the area code for the San Fernando Valley area of LA. A cross between Sour Diesel and SFV OG Kush, 818 Headband produces an initial aroma of diesel gasoline followed by an earthy, floral, and piney smell, which speaks to its lineage. The strain earned first place prize for The Cali Connection at the 2011 High Times Medical Cup in Detroit, MI.","818 Headband requires an intermediate-level growing experience, but it can be cultivated successfully either indoors or outdoors. If grown outdoors, the bud yield will be slightly greater than if grown indoors. The approximate flowering time for 818 Headband ranges from 60 to 75 days.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}]"
9lb Hammer,9lb-hammer,hybrid,"9lb Hammer (also 9 Pound Hammer) was created when breeder Jinxproof crossed his favorite strain Gooberry with the TGA Genetics Jesus OG Kush member of the OG family. These strains combined to form 9lb Hammer’s intoxicatingly fruity blend of grape flavors and autumn-colored foliage. 9lb Hammer was so named because it allegedly felt like a heavy hammer knocking users out cold. 

According to Jinxproof, 9lb Hammer packs a heavy sedative punch, due to large myrcene content and higher tested percentages of THC. ","Novice and advanced breeders will adore this cultivar for its heavy yield, shorter heights and fast flowering period of 50-60 days when grown indoors. 9lb Hammer reaches its full potential in sunny, warm environments.","Jinxproof Genetics, TGA Genetics",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/002/avatar/original/1561657639-171205_40864_9lbHammer_SAF_1.jpg,https://images.weedmaps.com/strains/000/000/002/hero/original/1581016378-9lbHammer.jpg,"['9 Pound Hammer', 'Nine Pound Hammer', '9 lb Hammer']","[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': 'da04d5f5-0601-4ebc-a2ef-cd23a944c537', 'type': 'tag', 'name': 'Ammonia'}, {'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
Abracadabra,abracadabra,hybrid,"Little information exists online regarding the magical-sounding Abracadabra — it seems to have materialized from thin air. While the strain's breeder and genetics are unknown, online sources confirm Abracadabra's earthy, citrus flavors and balanced mental and physical effects.","While hardly any growing information is available online, Abracadabra is reportedly best left to experienced cultivators.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': '4111e944-1514-4698-a9fa-924e55289ac3', 'type': 'tag', 'name': 'Honey'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
Abusive OG,abusive-og,hybrid,"Abusive OG, or simply Abusive, was created or discovered by the breeders at Devil’s Harvest Krew sometime in the early 2000s. The cultivar is said to be bred from a rare cut of OG Kush, also called LA Kush for the city where it was created. Its genetic origins, however, are mostly unknown. Contrary to its name, consumers report that Abusive OG produces tranquil euphoria delivered with a fragrant, pine-smelling aroma.

New and experienced growers alike will have an easy time cultivating Abusive OG, which has a reputation for low yields. Abusive OG flourishes with Screen of Green (SCROG) methods and grows into a short, squat plant when it reaches full maturity in 60-70 days. Once bloomed, the cultivar showcases tight, compact nugs covered in trichomes and orange pistils.",,Devil's Harvest Krew,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/004/avatar/original/1564001045-180209_45571_AbusiveOG_1.jpg,https://images.weedmaps.com/strains/000/000/004/hero/original/1585181273-Abusive-OG_DL.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]","[{'id': '5a360f3b-c4df-44a7-a34e-fd7b7f69253b', 'type': 'tag', 'name': 'Orange'}, {'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': '43af30ae-0332-4b0d-8ec2-64d40fd590f5', 'type': 'tag', 'name': 'Apricot'}]"
