Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
0,Kelly Hill Gold,indica,5.0,"Happy,Energetic,Euphoric,Talkative,Aroused","Cultivated by Joseph Arthur Botanicals in Colorado, Kelly Hill Gold is a 70/30 indica-dominant strain that crosses Acapulco Gold and Chemdawg 4. With buds that are large and full of orange pistils, this strain gives off strong earthy notes and the smell of burnt coffee. Averaging at 24.5% THC, its potent effects will send you into a relaxed and euphoric state that can help alleviate anxiety and stress.","Pepper,Earthy,Coffee","0,992,897,439,184,1877"
1,Spyder Mon,hybrid,5.0,"Uplifted,Creative,Focused,Happy,Relaxed","Spyder Mon is an uplifting CBD strain with a good lineage, getting its manageable euphoria and anti-inflammatory effects from Midnight Farm’s Super Skunk and Florin Wellness Center’s Charlotte’s Web. This combo delivers a 2.5:1 CBD/THC ratio that soothes the body while improving the mood. Its effects are mostly clear-headed that lend themselves to all day use. The aroma is fresh, exhibiting notes of citrus and pine. Utilize Spyder Mon to help reduce inflammation, nausea, headaches, and minor physical aches and pains.","Citrus,Earthy,Sweet","1,218,157,1627,223,742"
2,Mochi,hybrid,5.0,"Sleepy,Happy,Hungry,Relaxed,Tingly","Mochi by Sherbinski is another strain that leans on the Cookie Fam lineage for flavor, potency, and stability. This phenotypic expression of Sunset Sherbet x Thin Mint Girl Scout Cookies is an indica-leaning hybrid with beautiful, dense buds. Mochi’s appearance is a frosty mixture of purple and jade foliage knotted with bright red hairs. Its effects are very similar to that of its parent strains, offering moderate pain and stress reduction while imbuing the consumer with a calm and creative aura. The Mochi strain is also known by the names Gelato 47 and Mochi Gelato.","Pungent,Minty,Flowery","2,614,457,208,705,130"
3,Molokai Purpz,indica,5.0,"Aroused,Creative,Euphoric,Relaxed,Sleepy","Moloka’i Purpz is a luscious Hawaiian landrace strain from the island of Moloka’i. With deep purple hues and an aroma so rich with grape and berry that some might say it even “smells purple,” Moloka’i Purpz delivers sedating effects ideal for those suffering from insomnia and stress. Anticipate a flavor as rich as the smell, with notes of exotic berry and grape intermixed with a sweet skunkiness. This indica-dominant strain is extremely relaxing, lulling the body and mind into a state of weighted tranquility.","Berry,Grape,Sweet","3,1478,562,1063,50,390"
4,Monolith,indica,5.0,"Relaxed,Sleepy,Tingly,Euphoric,Focused","Monolith is an indica-dominant strain with Afghan roots that stretch back to the 1980s. This indica exhibits a pungent aroma that has an earthy, herbaceous core glazed with stinky-sweet terpenes powerful enough to clear a room. The onset of Monolith is surprisingly uplifting, making the consumer smile and laugh while banishing stress and anxiety from the mind. Monolith stimulates the appetite and infuses the limbs with a warm, tingly sensation. Enjoy this indica to nullify stress, curb minor physical pain, and encourage rest and relaxation.","Pungent,Earthy,Pine","4,1397,862,1094,214,141"
5,Casper Og,indica,5.0,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted","Casper OG is an indica-dominant strain with a unique history. By combining ThaDocta’s Face Off OG and ORGNKID’s Ghost OG, Casper OG (the friendliest OG you know) was brought into being from the great beyond. Known for its squat plants and nine week grow cycle, Casper OG is an ideal indoor grow. This plant delivers traditional indica effects that mellow the mind and body in small doses, but anchors the consumer to the couch with continued use. The terpene profile is rich with OG notes, including earth and delicate citrus. Enjoy Casper OG in the evening to maximize its stress-free relaxation and gradual sedation","Earthy,Sweet,Pungent","5,1176,349,572,711,1006"
6,Moondance,sativa,5.0,"Creative,Euphoric,Happy,Relaxed","Moondance is a sativa-dominant strain that offers a CBD content as high as 11%. With an average THC level of just 4%, consumers will notice only minimal cerebral, euphoric sensations. Candied grape aromas turn to spicy pepper, fresh mint, and sharp pine flavors on the exhale. Stress, body aches, and painful inflammation wither away while the mind is left agile and clear, making this strain an excellent daytime choice for patients and those needing to stay active. Inheriting genetics from Super Silver Haze, Neville’s Haze, and an unknown CBD-rich parent, Moondance is a variation of the better-known MediHaze sativa.","Lavender,Pine","6,628,492,798,1813,581"
7,Mt Cook,indica,5.0,"Euphoric,Focused,Happy,Relaxed,Aroused","Named after the highest peak in New Zealand, Mt. Cook by Kiwiseeds is a former Cannabis Cup champion. After selecting their top Afghani female, a special Northern Lights and Hash Plant male was used to pollinate and create this potent indica. Known to be powerful and sedative, this is a great strain to relax and catch some sleep with.","Ammonia,Diesel,Spicy/Herbal","7,2072,1728,12,1703,626"
8,Strawberry Frost,indica,5.0,"Happy,Aroused,Relaxed,Giggly,Hungry","Strawberry Frost by MaddFarmer is a three-way cross of fruity trichome producers. The genetic descendant of a Strawberry Cough/Deep Chunk hybrid crossed with Space Queen, Strawberry Frost is a heady indica-dominant strain that is gentle on the body. This dreamy strain calms the body and elevates the mind, placing the consumer in a relaxed, whimsical state. These effects naturally aid with stress, anxiety, and general restlessness.","Sweet,Strawberry,Earthy","8,843,1975,652,1105,1287"
9,Negra 44,indica,5.0,"Creative,Energetic,Relaxed,Hungry,Talkative","Negra 44 is an indica-dominant strain bred by R-Kiem Seeds in Spain. This award-winning variety crosses a Top 44 indica with native Ghana landrace strains, and inherits an earthy, fruity aroma. Indoors, Negra 44 flowers in 8 weeks while outdoor gardens are ready for harvest at the end of September. Negra 44 produces dark green buds and has adapted over time to suit Mediterranean climates.","Sweet,Earthy,Citrus","9,838,910,1174,740,1696"
